"ROW_ID";"TITLE";"ALT TITLE";"RLS DATE";"DURATION (MIN)";"DIRECTORS";"ACTORS";"CATEGORIES";"ORIGIN";"NB_SEASONS";"NB_EPISODES";"DESCRIPTION";"IMAGE";"KEYWORDS"
"24";"Goliath";"ND";"En cours";"55 min";"David E. Kelley,  Jonathan Shapiro";"Billy Bob Thornton";"26,33,99";"États-Unis";"1";"8";"Après avoir perdu une affaire, un avocat sombre dans l'alcoolisme. Sa femme le quitte et il perd son emploi, lâché par son partenaire. Bientôt, une affaire se présente et il a l'occasion d'affronter ce fameux partenaire.";"http://static.media.dpstream.net/s/6969/097919.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477471528.jpg";"Série Goliath streaming,Goliath dpstream, Série Goliath HD, Goliath streaming VF"
"25";"Class";"ND";"En cours";"45 min";"Patrick Ness";"Fady Elsayed, Greg Austin, Sophie Hopkins";"28,35";"Royaume-Uni";"1";"8";"La Coal Hill Academy n'est pas une école comme les autres. Là-bas, étudiants et corps enseignant se croisent dans les couloirs du bâtiment, partageant leur quotidien peuplé de créatures étranges et rythmé par des voyages temporels.

Spin-Off de Doctor Who. 
http://www.dpstream.net/serie-117-doctor-who-2005.html";"http://static.media.dpstream.net/s/6968/558114.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477307089.jpg";"Série Class streaming,Class dpstream, Série Class HD, Class streaming VF"
"26";"The Young Pope";"ND";"En cours";"50 min";"Paolo Sorrentino";"Jude Law, Silvio Orlando, Diane Keaton";"26";"Italie, États-Unis";"1";"10";"L'ascension de Pie XIII, né Lenny Belardo, le premier Pape italo-américain de l'Histoire. Cet homme au pouvoir immense est doté d'une personnalité complexe et contradictoire. D'un conservatisme fleurant l'obsurantisme le plus archaïque, il se révèle pourtant éperdu de compassion envers les plus pauvres et les plus faibles. Et malgré les trahisons de son entourage et sa peur de l'abandon, y compris de son propre Dieu, il n'hésitera pas à se battre avec la plus grande ferveur, en franchissant plus d'une fois les limites édictées par les pauvres mortels.";"http://static.media.dpstream.net/s/6967/young-1477212275.jpg";"Série The Young Pope streaming,The Young Pope dpstream, Série The Young Pope HD, The Young Pope streaming VF"
"27";"Robinson Crusoë (2003)";"ND";"En cours";"90 min";"Thierry Chabert";"Nicolas Cazalé, Pierre Richard, Jean-Claude Leguay";"20,26";"Canada, France, Royaume-Uni";"1";"2";"Mars 1744. La Santa Lucia quitte son port d'attache, direction l'Amérique du Sud. A son bord, Robinson Crusoé, propriétaire d'une modeste plantation de canne à sucre et tuteur de la jeune Isabella.

Cette mini-série existe aussi en Format Téléfilm";"http://static.media.dpstream.net/s/6966/zzaf---robinson-crusoë---2003-1477072078.jpg";"Série Robinson Crusoë (2003) streaming,Robinson Crusoë (2003) dpstream, Série Robinson Crusoë (2003) HD, Robinson Crusoë (2003) streaming VF"
"28";"Zapped!";"ND";"En cours";"30 min";"Dan Gaster,  Paul Powell (II)";"James Buckley, Kenneth Collard, Haruka Abe";"23,28";"Royaume-Uni";"1";"10";"Lors d'une expérience, Brian est brusquement transporté dans un monde parallèle. En entrant dans un bar local, il y rencontre le propriétaire, Herman, ainsi que Barbara, Steg et Howell, des habitués de l'établissement quelque peu excentriques. Brian souhaite rentrer chez lui par tous les moyens mais ses nouvelles connaissances ne sont d'aucune aide. Il se retrouve donc coincé dans un monde fantastique qu'il ne comprend pas.";"http://static.media.dpstream.net/s/6965/zapped-1477048710.jpg";"Série Zapped! streaming,Zapped! dpstream, Série Zapped! HD, Zapped! streaming VF"
"29";"Dimanche 20h55";"ND";"En cours";"ND";"France 2";"Laurent Delahousse";"25";"France";"1";"5";"Un dimanche par mois, en prime time, Laurent Delahousse vous propose un nouveau rendez-vous événementiel : Dimanche 20h55. Une soirée pour comprendre l’actualité en remontant le fil de l’Histoire.";"http://static.media.dpstream.net/s/6964/zzaf---dimanche-20h55---v1-1477003501.jpg";"Série Dimanche 20h55 streaming,Dimanche 20h55 dpstream, Série Dimanche 20h55 HD, Dimanche 20h55 streaming VF"
"30";"Chance (2016)";"ND";"En cours";"60 min";"Alexandra Cunningham,  Kem Nunn";"Hugh Laurie, LisaGay Hamilton, Stefania Owen";"26,39";"États-Unis";"1";"20";"Un neuropsychiatre qui va se retrouver en conflit avec l'épouse abusive d'un patient. Le problème ? Cette femme travaille aussi pour... la police !";"http://static.media.dpstream.net/s/6963/chance-1476984993.jpg";"Série Chance (2016) streaming,Chance (2016) dpstream, Série Chance (2016) HD, Chance (2016) streaming VF"
"31";"Crazyhead";"ND";"En cours";"45 min";"Howard Overman";"Cara Theobold, Tony Curran, Susan Wokoma";"23,26,95";"Royaume-Uni";"1";"10";"Alors que certaines personnes meurent et quittent tranquillement le monde des vivants, d’autres ont des affaires inachevées qu’elles souhaitent régler, en prenant possession de corps toujours en vie. La plupart du temps, ces âmes perdues passent inaperçues. Amy est une de ces rares mortels à pouvoir les démasquer. Aidée de Raquel, elle chasse ces démons afin de les renvoyer dans l’autre monde...";"http://static.media.dpstream.net/s/6962/542802.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1476958939.jpg";"Série Crazyhead streaming,Crazyhead dpstream, Série Crazyhead HD, Crazyhead streaming VF"
"32";"Dirty Laundry";"ND";"En cours";"45 min";"Rachel Lang,  Gavin Strawhan";"Tai Berdinner-Blades, Morgan Bradley, Tim Carlsen";"26";"Nouvelle-Zélande";"1";"9";"";"http://static.media.dpstream.net/s/6961/dirty_laundry-1476958668.jpg";"Série Dirty Laundry streaming,Dirty Laundry dpstream, Série Dirty Laundry HD, Dirty Laundry streaming VF"
"33";"Him";"ND";"En cours";"45 min";"Paula Milne";"Fionn Whitehead, Simona Brown, James Murray (XIII)";"26,28,95";"Royaume-Uni";"1";"3";"Piégé entre l'enfance et l'adolescence, HIM, 17 ans, a du mal à trouver sa place dans ses deux familles. Ses parents, divorcés, ont refait leurs vies. Il ne reste plus que lui, dernier souvenir, dernier échec de leur passé. Comme toute personne de son âge, le jeune homme doit faire face à un flot d'émotions plus ou moins confuses, mais il garde aussi un très lourd secret : un pouvoir psychique hérité de son grand-père. Seule sa grand-mère est à même de le comprendre et le supplie d'utliser son don pour faire 'le bien', sinon les conséquences pourraient être catastrophiques.";"http://static.media.dpstream.net/s/6960/him-1476958432.jpg";"Série Him streaming,Him dpstream, Série Him HD, Him streaming VF"
