ROW_ID;TITLE;ALT TITLE;RLS DATE;DURATION (MIN);DIRECTORS;ACTORS;CATEGORIES;ORIGIN;NB_SEASONS;NB_EPISODES;DESCRIPTION;IMAGE;KEYWORDS
1401;Camp;ND;Terminée;ND;;;En cours de classement;;ND;ND;Le quotidien d'un camp de vacances, dans lequel les parents décompressent en buvant, pendant que leurs enfants découvrent les bonheurs et les aléas de l'amour. Un lieu de paradis où la nature entre en collision avec la nature humaine... <br><br>Série créée par Liz Heldens, Peter Elkoff en 2013<br><br>Saison : 1 - Episodes : 10 - Statut : série en production<br>Origine : etats-Unis - Genre : Comédie dramatique - Format : 42 mn<br>Avec Rachel Griffiths, Charlotte Nicdao, Charles Grounds<br>;http://static.media.dpstream.net/s/5560/camp04-1475747136.jpg;Série Camp streaming,Camp dpstream, Série Camp HD, Camp streaming VF
1402;Orange Is The New Black;ND;En cours;52 min;Jenji Kohan;Taylor Schilling, Jason Biggs, Kate Mulgrew;Comédie,Drame;États-Unis;5;39;Un an dans une prison pour femmes de sécurité minimale dans le Connecticut à la rencontre de personnages farfelus mais attachants;http://static.media.dpstream.net/s/5559/541108.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1466173832.jpg;Série Orange Is The New Black streaming,Orange Is The New Black dpstream, Série Orange Is The New Black HD, Orange Is The New Black streaming VF
1403;The Bridge;ND;Terminée;42 min;Meredith Stiehm,  Elwood Reid;Diane Kruger, Demian Bichir, Annabeth Gish;Drame,Policier;États-Unis;2;26;"Deux policiers, lun américain lautre mexicain, doivent faire équipe lorsquun cadavre est découvre à la frontière, sur un pont reliant El Paso et Juarez. Leur mission dès lors : traquer un tueur en série qui opère des deux côtés de la frontière.


Info : remake américain de la série 'Bron / Broen' : 
http://www.dpstream.net/serie-5161-bron-broen.html";http://static.media.dpstream.net/s/5558/broen.klassisk-1475746540.jpg;Série The Bridge streaming,The Bridge dpstream, Série The Bridge HD, The Bridge streaming VF
1404;C'est pas sorcier 6 - Émissions spéciales;ND;Terminée;ND;;;En cours de classement;;ND;ND;"Thématique : Émissions spéciales

- Saison 1 - Émissions spéciales - 14 épisodes
voir rubrique 6 sur ce lien
http://fr.wikipedia.org/wiki/Liste_des_%C3%A9missions_de_C%27est_pas_sorcier#.C3.89missions_sp.C3.A9ciales

========================================================
Récapitulatif de toutes les thématiques de l'émission : 
- C'est pas sorcier 1 - Terre et Univers
http://www.dpstream.net/serie-382.html
- C'est pas sorcier 2 - Biodiversité, agronomie et environnement
http://www.dpstream.net/serie-5556.html
- C'est pas sorcier 3 - Santé et sport
http://www.dpstream.net/serie-1417.html
- C'est pas sorcier 4 - Physique, chimie et technologies
http://www.dpstream.net/serie-1421.html
